"Nom_eBird","match","HBW.Clem","Birdlife.HBW"
"Leucophaeus.atricilla","1-ok","sp-sp","Larus.atricilla"
"Porphyrio.martinica","1-ok","sp-sp","Porphyrio.martinicus"
"Phalaropus.tricolor","1-ok","sp-sp","Steganopus.tricolor"
"Dryobates.frontalis","1-ok","sp-sp","Veniliornis.frontalis"
"Thectocercus.acuticaudatus","1-ok","sp-sp","Psittacara.acuticaudatus"
"Milvago.chimango","1-ok","sp-sp","Phalcoboenus.chimango"
"Empidonomus.aurantioatrocristatus","1-ok","sp-sp","Griseotyrannus.aurantioatrocristatus"
"Thraupis.sayaca","1-ok","sp-sp","Tangara.sayaca"
"Xenops.rutilans","1-ok","sp-sp","Xenops.rutilus"
"Porphyriops.melanops","1-ok","sp-sp","Gallinula.melanops"
"Dryobates.mixtus","1-ok","sp-sp","Veniliornis.mixtus"
"Saltatricula.multicolor","1-ok","sp-sp","Saltator.multicolor"
"Chroicocephalus.serranus","1-ok","sp-sp","Larus.serranus"
"Oressochen.melanopterus","1-ok","sp-sp","Chloephaga.melanoptera"
"Sicalis.uropygialis","1-ok","sp-sp","Sicalis.uropigyalis"
"Tachycineta.leucopyga","1-ok","sp-sp","Tachycineta.meyeni"
"Chroicocephalus.maculipennis","1-ok","sp-sp","Larus.maculipennis"
"Chroicocephalus.cirrocephalus","1-ok","sp-sp","Larus.cirrocephalus"
"Stercorarius.chilensis","1-ok","sp-sp","Catharacta.chilensis"
"Stercorarius.antarcticus","1-ok","sp-sp","Catharacta.antarctica"
"Dryobates.spilogaster","1-ok","sp-sp","Veniliornis.spilogaster"
"Dryobates.passerinus","1-ok","sp-sp","Veniliornis.passerinus"
"Mustelirallus.albicollis","1-ok","sp-sp","Porzana.albicollis"
"Leucophaeus.pipixcan","1-ok","sp-sp","Larus.pipixcan"
"Cyanocorax.caeruleus","1-ok","sp-sp","Cyanocorax.coeruleus"
"Phylloscartes.eximius","1-ok","sp-sp","Pogonotriccus.eximius"
"Celeus.galeatus","1-ok","sp-sp","Hylatomus.galeatus"
"Thraupis.palmarum","1-ok","sp-sp","Tangara.palmarum"
"Sylviorthorhynchus.desmursii","1-ok","sp-sp","Sylviorthorhynchus.desmurii"
"Dryobates.lignarius","1-ok","sp-sp","Veniliornis.lignarius"
"Leucophaeus.scoresbii","1-ok","sp-sp","Larus.scoresbii"
"Dryobates.fumigatus","1-ok","sp-sp","Leuconotopicus.fumigatus"
"Stercorarius.maccormicki","1-ok","sp-sp","Catharacta.maccormicki"
"Mustelirallus.erythrops","1-ok","sp-sp","Neocrex.erythrops"
"Oressochen.jubatus","1-ok","sp-sp","Neochen.jubata"
"Vanellus.cayanus","1-ok","sp-sp","Hoploxypterus.cayanus"
"Pitangus.lictor","1-ok","sp-sp","Philohydor.lictor"
"Ixothraupis.punctata","1-ok","sp-sp","Tangara.punctata"
"Idiopsar.speculifer","1-ok","sp-sp","Chionodacryon.speculiferum"
"Thraupis.episcopus","1-ok","sp-sp","Tangara.episcopus"
"Thraupis.cyanocephala","1-ok","sp-sp","Sporathraupis.cyanocephala"
"Tachyphonus.cristatus","1-ok","sp-sp","Islerothraupis.cristata"
"Dryobates.affinis","1-ok","sp-sp","Veniliornis.affinis"
"Ixothraupis.xanthogastra","1-ok","sp-sp","Tangara.xanthogastra"
"Bucco.macrodactylus","1-ok","sp-sp","Cyphos.macrodactylus"
"Saltatricula.atricollis","1-ok","sp-sp","Saltator.atricollis"
"Tachyphonus.luctuosus","1-ok","sp-sp","Islerothraupis.luctuosa"
"Pteroglossus.beauharnaesii","1-ok","sp-sp","Pteroglossus.beauharnaisii"
"Phylloscartes.ophthalmicus","1-ok","sp-sp","Pogonotriccus.ophthalmicus"
"Dryobates.nigriceps","1-ok","sp-sp","Veniliornis.nigriceps"
"Ochthoeca.frontalis","1-ok","sp-sp","Silvicultrix.frontalis"
"Ochthoeca.pulchella","1-ok","sp-sp","Silvicultrix.pulchella"
"Pseudocolaptes.boissonneautii","1-ok","sp-sp","Pseudocolaptes.boissonneauii"
"Tachyphonus.rufiventer","1-ok","sp-sp","Islerothraupis.rufiventer"
"Cranioleuca.gutturata","1-ok","sp-sp","Thripophaga.gutturata"
"Anurolimnas.viridis","1-ok","sp-sp","Rufirallus.viridis"
"Thraupis.ornata","1-ok","sp-sp","Tangara.ornata"
"Dryobates.maculifrons","1-ok","sp-sp","Veniliornis.maculifrons"
"Tijuca.condita","1-ok","sp-sp","Lipaugus.conditus"
"Thraupis.cyanoptera","1-ok","sp-sp","Tangara.cyanoptera"
"Dixiphia.pipra","1-ok","sp-sp","Pseudopipra.pipra"
"Tijuca.atra","1-ok","sp-sp","Lipaugus.ater"
"Chlorestes.notata","1-ok","sp-sp","Chlorostilbon.notatus"
"Hylocharis.sapphirina","1-ok","sp-sp","Amazilia.sapphirina"
"Bucco.tamatia","1-ok","sp-sp","Nystactes.tamatia"
"Ixothraupis.varia","1-ok","sp-sp","Tangara.varia"
"Tachyphonus.surinamus","1-ok","sp-sp","Maschalethraupis.surinama"
"Periporphyrus.erythromelas","1-ok","sp-sp","Caryothraustes.erythromelas"
"Dryobates.cassini","1-ok","sp-sp","Veniliornis.cassini"
"Anurolimnas.castaneiceps","1-ok","sp-sp","Rufirallus.castaneiceps"
"Anurolimnas.fasciatus","1-ok","sp-sp","Porzana.fasciata"
"Ixothraupis.guttata","1-ok","sp-sp","Tangara.guttata"
"Melopyrrha.violacea","1-ok","sp-sp","Pyrrhulagra.violacea"
"Dryobates.villosus","1-ok","sp-sp","Leuconotopicus.villosus"
"Chroicocephalus.philadelphia","1-ok","sp-sp","Larus.philadelphia"
"Chroicocephalus.ridibundus","1-ok","sp-sp","Larus.ridibundus"
"Psilorhinus.morio","1-ok","sp-sp","Cyanocorax.morio"
"Thraupis.abbas","1-ok","sp-sp","Tangara.abbas"
"Phaeochroa.cuvierii","1-ok","sp-sp","Campylopterus.cuvierii"
"Leucophaeus.modestus","1-ok","sp-sp","Larus.modestus"
"Phalacrocorax.bougainvillii","1-ok","sp-sp","Leucocarbo.bougainvilliorum"
"Oceanodroma.hornbyi","1-ok","sp-sp","Hydrobates.hornbyi"
"Oceanodroma.markhami","1-ok","sp-sp","Hydrobates.markhami"
"Oceanodroma.tethys","1-ok","sp-sp","Hydrobates.tethys"
"Tachyphonus.delatrii","1-ok","sp-sp","Chrysocorypha.delatrii"
"Dryobates.kirkii","1-ok","sp-sp","Veniliornis.kirkii"
"Chlorothraupis.olivacea","1-ok","sp-sp","Habia.olivacea"
"Hylocharis.humboldtii","1-ok","sp-sp","Amazilia.humboldtii"
"Oceanodroma.microsoma","1-ok","sp-sp","Hydrobates.microsoma"
"Phylloscartes.lanyoni","1-ok","sp-sp","Pogonotriccus.lanyoni"
"Bucco.noanamae","1-ok","sp-sp","Nystactes.noanamae"
"Phylloscartes.poecilotis","1-ok","sp-sp","Pogonotriccus.poecilotis"
"Hylocharis.grayi","1-ok","sp-sp","Amazilia.grayi"
"Scytalopus.alvarezlopezi","1-ok","unrec-sp","Scytalopus.sp."
"Dryobates.chocoensis","1-ok","sp-sp","Veniliornis.chocoensis"
"Thraupis.glaucocolpa","1-ok","sp-sp","Tangara.glaucocolpa"
"Dryobates.dignus","1-ok","sp-sp","Veniliornis.dignus"
"Ixothraupis.rufigula","1-ok","sp-sp","Tangara.rufigula"
"Ochthoeca.diadema","1-ok","sp-sp","Silvicultrix.diadema"
"Chlorothraupis.stolzmanni","1-ok","sp-sp","Habia.stolzmanni"
"Grallaria.urraoensis","1-ok","sp-sp","Grallaria.fenwickorum"
"Chlorospingus.flavovirens","1-ok","sp-sp","Bangsia.flavovirens"
"Buthraupis.wetmorei","1-ok","sp-sp","Tephrophilus.wetmorei"
"Dryobates.callonotus","1-ok","sp-sp","Veniliornis.callonotus"
"Phylloscartes.orbitalis","1-ok","sp-sp","Pogonotriccus.orbitalis"
"Calocitta.formosa","1-ok","sp-sp","Cyanocorax.formosus"
"Icterus.bullockii","1-ok","sp-sp","Icterus.bullockiorum"
"Oceanodroma.melania","1-ok","sp-sp","Hydrobates.melania"
"Priotelus.roseigaster","1-ok","sp-sp","Temnotrogon.roseigaster"
"Thripophaga.berlepschi","1-ok","sp-sp","Cranioleuca.berlepschi"
"Ochthoeca.jelskii","1-ok","sp-sp","Silvicultrix.jelskii"
"Tumbezia.salvini","1-ok","sp-sp","Ochthoeca.salvini"
"Hylocharis.leucotis","1-ok","sp-sp","Basilinna.leucotis"
"Coccothraustes.abeillei","1-ok","sp-sp","Hesperiphona.abeillei"
"Phylloscartes.venezuelanus","1-ok","sp-sp","Pogonotriccus.venezuelanus"
"Phylloscartes.chapmani","1-ok","sp-sp","Pogonotriccus.chapmani"
"Camarhynchus.psittacula","1-ok","sp-sp","Geospiza.psittacula"
"Leucophaeus.fuliginosus","1-ok","sp-sp","Larus.fuliginosus"
"Oceanodroma.leucorhoa","1-ok","sp-sp","Hydrobates.leucorhous"
"Camarhynchus.parvulus","1-ok","sp-sp","Geospiza.parvula"
"Camarhynchus.pallidus","1-ok","sp-sp","Geospiza.pallida"
"Oceanodroma.castro","1-ok","sp-sp","Hydrobates.castro"
"Camarhynchus.heliobates","1-ok","sp-sp","Geospiza.heliobates"
"Camarhynchus.pauper","1-ok","sp-sp","Geospiza.pauper"
"Dryobates.sanguineus","1-ok","sp-sp","Veniliornis.sanguineus"
"Calocitta.colliei","1-ok","sp-sp","Cyanocorax.colliei"
"Rhodothraupis.celaeno","1-ok","sp-sp","Caryothraustes.celaeno"
"Vireo.hypochryseus","1-ok","sp-sp","Pachysylvia.hypochrysea"
"Hylocharis.xantusii","1-ok","sp-sp","Basilinna.xantusii"
"Dryobates.arizonae","1-ok","sp-sp","Leuconotopicus.arizonae"
"Coccothraustes.vespertinus","1-ok","sp-sp","Hesperiphona.vespertina"
"Centronyx.bairdii","1-ok","sp-sp","Passerculus.bairdii"
"Dryobates.stricklandi","1-ok","sp-sp","Leuconotopicus.stricklandi"
"Melopyrrha.portoricensis","1-ok","sp-sp","Pyrrhulagra.portoricensis"
"Ichthyaetus.audouinii","1-ok","sp-sp","Larus.audouinii"
"Dryocopus.pileatus","1-ok","sp-sp","Hylatomus.pileatus"
"Dryobates.albolarvatus","1-ok","sp-sp","Leuconotopicus.albolarvatus"
"Spizelloides.arborea","1-ok","sp-sp","Passerella.arborea"
"Oceanodroma.furcata","1-ok","sp-sp","Hydrobates.furcatus"
"Oceanodroma.homochroa","1-ok","sp-sp","Hydrobates.homochroa"
"Centronyx.henslowii","1-ok","sp-sp","Passerculus.henslowii"
"Dryobates.borealis","1-ok","sp-sp","Leuconotopicus.borealis"
"Luscinia.svecica","1-ok","sp-sp","Cyanecula.svecica"
"Stercorarius.skua","1-ok","sp-sp","Catharacta.skua"
"Pica.nuttalli","1-ok","sp-sp","Pica.nutalli"
